Entity,Code,Year,Legal equality index
Afghanistan,AFG,2025,0.51
Albania,ALB,2025,62.27
Algeria,DZA,2025,3.72
Andorra,AND,2025,85.71
Angola,AGO,2025,48.64
Antigua and Barbuda,ATG,2025,44.65
Argentina,ARG,2025,89.35
Armenia,ARM,2025,43.18
Australia,AUS,2025,87.73
Austria,AUT,2025,90.68
Azerbaijan,AZE,2025,29.76
Bahamas,BHS,2025,45.12
Bahrain,BHR,2025,31.11
Bangladesh,BGD,2025,14.72
Barbados,BRB,2025,42.44
Belarus,BLR,2025,37.73
Belgium,BEL,2025,86.43
Belize,BLZ,2025,51.22
Benin,BEN,2025,41.91
Bhutan,BTN,2025,56.76
Bolivia,BOL,2025,85.24
Bosnia and Herzegovina,BIH,2025,59.7
Botswana,BWA,2025,56.1
Brazil,BRA,2025,95.06
Brunei,BRN,2025,3.26
Bulgaria,BGR,2025,51.82
Burkina Faso,BFA,2025,29.47
Burundi,BDI,2025,7.91
Cambodia,KHM,2025,45
Cameroon,CMR,2025,3.16
Canada,CAN,2025,95.35
Cape Verde,CPV,2025,49.47
Central African Republic,CAF,2025,27.03
Chad,TCD,2025,15
Chile,CHL,2025,100
China,CHN,2025,42.38
Colombia,COL,2025,97.73
Comoros,COM,2025,12.82
Congo,COG,2025,47.62
Costa Rica,CRI,2025,83.33
Cote d'Ivoire,CIV,2025,33
Croatia,HRV,2025,78.64
Cuba,CUB,2025,80.91
Cyprus,CYP,2025,78
Czechia,CZE,2025,75.46
Democratic Republic of Congo,COD,2025,32.09
Denmark,DNK,2025,92.86
Djibouti,DJI,2025,37.3
Dominica,DMA,2025,44.87
Dominican Republic,DOM,2025,40.48
East Timor,TLS,2025,48.84
Ecuador,ECU,2025,87.5
Egypt,EGY,2025,5.12
El Salvador,SLV,2025,41.03
Equatorial Guinea,GNQ,2025,38.18
Eritrea,ERI,2025,4.87
Estonia,EST,2025,80.48
Eswatini,SWZ,2025,26.22
Ethiopia,ETH,2025,6.51
Fiji,FJI,2025,59.76
Finland,FIN,2025,85
France,FRA,2025,88.64
Gabon,GAB,2025,41
Gambia,GMB,2025,1.84
Georgia,GEO,2025,45.58
Germany,DEU,2025,100
Ghana,GHA,2025,19.51
Greece,GRC,2025,89.55
Greenland,GRL,2025,90.75
Grenada,GRD,2025,25.26
Guatemala,GTM,2025,46.05
Guinea,GIN,2025,16.92
Guinea-Bissau,GNB,2025,49.71
Guyana,GUY,2025,25.8
Haiti,HTI,2025,45.46
Honduras,HND,2025,55.71
Hungary,HUN,2025,60.46
Iceland,ISL,2025,97.62
India,IND,2025,61.16
Indonesia,IDN,2025,32.27
Iran,IRN,2025,6.05
Iraq,IRQ,2025,3
Ireland,IRL,2025,85
Israel,ISR,2025,76.36
Italy,ITA,2025,68.68
Jamaica,JAM,2025,24.76
Japan,JPN,2025,58
Jordan,JOR,2025,33.66
Kazakhstan,KAZ,2025,38.52
Kenya,KEN,2025,20.79
Kiribati,KIR,2025,28.33
Kuwait,KWT,2025,5.64
Kyrgyzstan,KGZ,2025,33.85
Laos,LAO,2025,47.27
Latvia,LVA,2025,61.86
Lebanon,LBN,2025,17.56
Lesotho,LSO,2025,51.91
Liberia,LBR,2025,27.18
Libya,LBY,2025,4.29
Liechtenstein,LIE,2025,68.57
Lithuania,LTU,2025,67.73
Luxembourg,LUX,2025,80.8
Madagascar,MDG,2025,40
Malawi,MWI,2025,12.09
Malaysia,MYS,2025,8.21
Maldives,MDV,2025,15.79
Mali,MLI,2025,4.29
Malta,MLT,2025,100
Marshall Islands,MHL,2025,56.76
Mauritania,MRT,2025,2.79
Mauritius,MUS,2025,53.9
Mexico,MEX,2025,84.63
Micronesia (country),FSM,2025,53.14
Moldova,MDA,2025,63.7
Monaco,MCO,2025,54.6
Mongolia,MNG,2025,63.42
Montenegro,MNE,2025,72.27
Morocco,MAR,2025,7.91
Mozambique,MOZ,2025,48.21
Myanmar,MMR,2025,11.71
Namibia,NAM,2025,51.43
Nauru,NRU,2025,48.44
Nepal,NPL,2025,82.58
Netherlands,NLD,2025,90.46
New Zealand,NZL,2025,87.05
Nicaragua,NIC,2025,41.46
Niger,NER,2025,38.97
Nigeria,NGA,2025,4.6
North Korea,PRK,2025,32.11
North Macedonia,MKD,2025,60.91
Norway,NOR,2025,86.82
Oman,OMN,2025,2.93
Pakistan,PAK,2025,30.93
Palau,PLW,2025,43.75
Panama,PAN,2025,44
Papua New Guinea,PNG,2025,21
Paraguay,PRY,2025,41.36
Peru,PER,2025,61
Philippines,PHL,2025,54.75
Poland,POL,2025,61.36
Portugal,PRT,2025,93.18
Qatar,QAT,2025,4.39
Romania,ROU,2025,55.46
Russia,RUS,2025,31.55
Rwanda,RWA,2025,42.27
Saint Kitts and Nevis,KNA,2025,47.43
Saint Lucia,LCA,2025,29.1
Saint Vincent and the Grenadines,VCT,2025,18.42
Samoa,WSM,2025,21.47
San Marino,SMR,2025,63.64
Sao Tome and Principe,STP,2025,50
Saudi Arabia,SAU,2025,2.93
Senegal,SEN,2025,3.24
Serbia,SRB,2025,62.27
Seychelles,SYC,2025,51.43
Sierra Leone,SLE,2025,22.44
Singapore,SGP,2025,44.29
Slovakia,SVK,2025,65.8
Slovenia,SVN,2025,83.64
Solomon Islands,SLB,2025,17.65
Somalia,SOM,2025,1
South Africa,ZAF,2025,83.64
South Korea,KOR,2025,60
South Sudan,SSD,2025,6.83
Spain,ESP,2025,99.86
Sri Lanka,LKA,2025,24.39
Sudan,SDN,2025,5.75
Suriname,SUR,2025,63.08
Sweden,SWE,2025,80.46
Switzerland,CHE,2025,75.91
Syria,SYR,2025,10.24
Taiwan,TWN,2025,72.96
Tajikistan,TJK,2025,35.12
Tanzania,TZA,2025,8.46
Thailand,THA,2025,69.05
Togo,TGO,2025,6.11
Tonga,TON,2025,20.59
Trinidad and Tobago,TTO,2025,27.96
Tunisia,TUN,2025,10.53
Turkey,TUR,2025,35.46
Turkmenistan,TKM,2025,19.87
Tuvalu,TUV,2025,26.52
Uganda,UGA,2025,0.56
Ukraine,UKR,2025,57.27
United Arab Emirates,ARE,2025,0.47
United Kingdom,GBR,2025,81.59
United States,USA,2025,79.63
Uruguay,URY,2025,93.18
Uzbekistan,UZB,2025,23.21
Vanuatu,VUT,2025,42.56
Venezuela,VEN,2025,50
Vietnam,VNM,2025,52.27
Yemen,YEM,2025,2.86
Zambia,ZMB,2025,4.88
Zimbabwe,ZWE,2025,17.5